id,camera_path,device,viewport,timestep,ao-NA-1-NA,ao-NA-5-NA,pathtracer-NA-NA-10,pathtracer-NA-NA-5,scivis-false-1-NA,scivis-false-5-NA,scivis-true-1-NA,scivis-true-5-NA,umap_x,umap_y,seq
126,complex-planes,Intel Core i5-7500,2048,5,14.1667,13.5063,5.8408,6.9402,14.1018,12.6445,14.6854,12.9411,1.0610356,-0.8269433,12
127,complex-planes,Intel Core i5-7500,2048,6,15.0903,13.8424,5.9814,7.1947,14.8271,13.5842,15.3228,13.0642,0.92532784,-0.9644284,12
128,complex-planes,Intel Core i5-7500,2048,7,15.1815,13.6667,5.6679,7.1838,15.2903,12.5705,15.1566,13.4513,1.072617,-1.0202628,12
129,complex-planes,Intel Core i5-7500,2048,8,15.3999,13.7688,5.9924,7.3612,15.3225,13.4038,14.9608,13.4099,0.8659962,-1.0028616,12
130,complex-planes,Intel Core i5-7500,2048,9,15.3036,13.0241,6.1852,7.1888,15.5622,13.269,14.7358,13.243,1.0556219,-1.1587602,12
131,complex-planes,Intel Core i5-7500,2048,10,15.1418,13.509,6.16,7.2693,15.1648,13.3639,15.0936,13.2453,0.9941295,-1.2246225,12
132,complex-planes,Intel Core i7-8565U,512,0,216.3931,184.8197,58.6755,83.5247,205.8248,143.2334,185.9175,175.3263,3.5260532,3.8804128,13
133,complex-planes,Intel Core i7-8565U,512,1,126.5171,172.5212,72.0767,85.7229,190.9534,183.6918,132.7885,172.9191,4.4266624,3.9851973,13
134,complex-planes,Intel Core i7-8565U,512,2,221.0218,187.3129,64.4521,61.7719,216.2985,181.4256,210.126,174.4537,4.004596,4.3007636,13
135,complex-planes,Intel Core i7-8565U,512,3,199.4646,149.8208,67.5019,64.4629,218.4193,168.2592,184.9619,168.8126,3.6844442,3.9344049,13
136,complex-planes,Intel Core i7-8565U,512,4,210.8561,193.5213,75.8116,78.5503,210.339,166.2651,192.3887,180.3638,3.5890377,4.013726,13
137,complex-planes,Intel Core i7-8565U,512,5,194.1065,195.9133,75.1982,95.7039,189.6367,162.1542,215.1486,162.0467,3.9226716,3.43947,13
138,complex-planes,Intel Core i7-8565U,512,6,205.3468,195.8177,75.9844,103.7038,213.7305,173.6334,218.2124,172.5608,3.8018632,2.9789736,13
139,complex-planes,Intel Core i7-8565U,512,7,226.3642,196.7478,77.1295,91.6053,147.6762,176.8406,199.4205,183.6426,3.5677383,2.9761994,13
140,complex-planes,Intel Core i7-8565U,512,8,200.9323,199.2449,61.1101,101.8349,223.0788,192.854,208.5754,191.4187,3.5146134,3.0668533,13
141,complex-planes,Intel Core i7-8565U,512,9,214.9664,179.4028,84.7968,101.76,198.5577,167.0252,219.5231,180.9627,3.366642,2.498924,13
142,complex-planes,Intel Core i7-8565U,512,10,214.247,193.5194,82.9786,81.2935,207.1684,190.4639,214.9465,191.4682,3.39462,2.5573874,13
143,complex-planes,Intel Core i7-8565U,1024,0,57.2479,50.1839,17.7128,23.6977,53.2711,47.9345,46.3002,40.7446,3.588495,3.2858348,14
144,complex-planes,Intel Core i7-8565U,1024,1,52.0118,46.331,17.9076,19.5328,54.7501,47.4897,54.4787,46.1529,3.5387836,3.4189413,14
145,complex-planes,Intel Core i7-8565U,1024,2,57.3473,46.1634,15.239,22.3371,51.1525,46.517,46.2742,45.8394,3.1594605,3.150023,14
146,complex-planes,Intel Core i7-8565U,1024,3,57.0574,48.3538,17.5363,23.3743,46.8922,44.305,55.0655,45.9935,2.9977036,3.2329116,14
147,complex-planes,Intel Core i7-8565U,1024,4,52.7131,49.7268,18.9763,23.5472,51.7526,47.5842,54.409,44.1022,3.0674436,3.0912287,14
148,complex-planes,Intel Core i7-8565U,1024,5,57.7731,50.1819,15.1339,25.0028,55.9876,38.6505,55.6777,47.8563,3.6959867,2.6666207,14
149,complex-planes,Intel Core i7-8565U,1024,6,54.7927,51.307,18.6211,24.1061,46.0399,49.962,58.671,39.2285,3.6694016,2.319381,14
150,complex-planes,Intel Core i7-8565U,1024,7,51.484,51.2321,22.0496,25.1133,45.0195,44.4358,54.0497,46.5771,3.3850641,2.1136591,14
151,complex-planes,Intel Core i7-8565U,1024,8,55.053,48.9752,22.1822,26.1818,57.7564,49.3873,52.4271,49.8087,3.2104623,2.2412148,14
152,complex-planes,Intel Core i7-8565U,1024,9,58.1713,51.8958,20.9573,25.9658,48.0326,37.7902,55.1004,47.2411,3.2089992,1.7575129,14
153,complex-planes,Intel Core i7-8565U,1024,10,57.4706,50.8577,19.5579,24.6953,57.3924,49.633,45.2233,48.9757,3.1277304,1.5275816,14
154,complex-planes,Intel Core i7-8565U,2048,0,13.785,11.8652,4.9023,5.6356,13.8744,12.2589,10.9681,11.8064,1.0261866,-1.0612451,15
155,complex-planes,Intel Core i7-8565U,2048,1,14.6769,12.2359,4.633,5.4308,14.0312,8.0917,13.8802,11.7036,0.6276573,-1.2890364,15
156,complex-planes,Intel Core i7-8565U,2048,2,14.4209,12.5761,4.5183,6.1383,14.2504,12.0649,13.3128,11.5186,1.1775922,-1.1756587,15
157,complex-planes,Intel Core i7-8565U,2048,3,14.4482,8.5064,4.4487,4.7504,14.2857,11.9032,13.9835,11.971,0.55408096,-1.3169779,15
158,complex-planes,Intel Core i7-8565U,2048,4,14.7043,12.3325,5.0753,5.9513,14.3574,10.0357,14.0853,11.4932,0.74107134,-1.1962585,15
159,complex-planes,Intel Core i7-8565U,2048,5,10.9601,12.7631,4.9813,5.9261,14.5427,12.3493,14.4085,12.1585,0.8538258,-0.9202822,15
160,complex-planes,Intel Core i7-8565U,2048,6,12.0031,10.0889,4.5915,6.6187,14.57,12.2577,10.8864,12.6788,0.7204999,-1.1850468,15
